Estagio,TCH
5,45.3
3,77.16
3,62.79
4,50.76
4,50.94
5,44.17
5,44.19
5,44.16
5,44.21
1,79.2
2,70.2
6,35.22
6,35.24
5,35.22
5,42.37
6,34.03
3,64.2
3,64.3
3,79.2
2,66.3
2,85.11
2,85.15
1,83.62
3,48.72
3,42.85
3,42.83
3,48.81
4,46.5
3,50.96
3,48.69
4,42.82
1,68.4
5,37.5
3,42.87
3,48.67
3,48.78
2,60.19
2,60.17
2,60.18
2,60.16
2,60.14
2,60.23
3,62.14
3,62.13
3,54.2
2,56.2
2,88.74
2,88.8
2,66.2
3,66.2
3,66.3
2,60.3
3,56.4
4,44.5
6,39.1
4,60.2
3,48.2
2,62.2
3,60.3
1,71.15
5,45.2
3,57.9
3,70.87
3,70.89
3,44.02
3,53.75
3,53.78
1,66.04
5,63.6
3,58.76
3,50.2
5,35.2
3,49.2
5,30.5
1,76.5
3,46.5
1,68.9
4,45.2
1,70.2
1,68.09
5,39.5
6,32.6
1,66.46
1,66.47
1,66.43
6,42.06
1,66.55
1,84.56
1,83.56
3,58.7
3,41.75
3,41.76
1,72.8
4,41.76
4,41.74
3,63.5
2,69.8
3,54.7
2,70.7
4,43.78
4,40.7
5,43.01
3,45.6
4,47.9
4,40.5
3,52.5
6,31.4
4,37.2
5,42.4
4,41.58
5,36.99
3,53.6
1,72.45
1,72.47
1,84.45
1,75.35
3,49.13
1,70.7
1,72.54
1,75.36
6,36.7
2,69.6
5,42.98
6,39.6
4,55.67
3,62.45
4,53.45
1,78.6
3,54.67
4,49.87
5,48
1,69.6
2,64.55
1,83.76
1,80.76
2,69.98
4,36.67
3,36.67
5,44.32
5,44.33
2,63.05
3,65.4
4,57.67
5,53.75
2,61.34
4,48.84
4,48.87
3,48.87
5,55.08
4,55.53
5,58.67
5,58.71
5,55.22
5,55.21
4,55.25
5,55.25
5,50.38
5,55.23
5,57.32
4,66.45
3,68.98
2,82.45
3,45.02
3,45.03
3,45.04
2,91.88
2,73.76
4,53.46
3,53.46
3,50.7
5,53.46
2,60.6
2,65.7
2,69.06
1,92.4
2,80.58
2,102.5
2,62.4
1,74.6
2,74.07
4,65.77
3,68.26
4,63.31
5,63.26
4,63.25
5,63.25
5,63.28
1,127.82
1,120.73
6,61.25
6,55.27
6,55.31
6,42.6
6,42.57
6,51.86
6,51.82
6,51.98
6,54.68
6,54.7
6,22.35
6,54.78
6,54.69
6,46.78
6,19.12
6,19.13
6,46.65
6,30.53
6,30.54
6,21.28
6,23.02
3,65.6
3,84.6
3,81.48
3,81.49
3,70.1
2,86.9
3,44.37
4,48.62
4,40.51
5,40.51
5,57.7
3,51.19
2,67.61
2,68.47
2,68.49
2,71.24
2,72.29
2,72.64
2,60.04
2,35.46
1,37.25
1,85.4
1,89.1
1,89.14
1,89.08
1,89.15
1,89.13
1,89.47
3,51.12
2,51.2
2,51.23
3,39.69
4,39.69
4,36.05
4,36.09
4,36.06
4,36.08
4,36.12
4,51.76
4,51.74
4,51.79
4,51.75
4,51.82
5,40.86
4,40.79
4,40.76
3,59.77
3,48.5
3,37.7
4,33.39
4,33.4
3,30.92
3,30.93
4,42.1
3,44.6
3,68.39
4,64.92
4,68.33
4,64.9
3,54.45
4,40.23
3,45.56
4,45.56
4,51.12
3,51.09
4,51.11
4,51.14
4,38.14
3,38.14
3,24.07
3,56
3,55.99
3,56.05
4,34.22
4,34.2
3,55.76
4,55.76
3,60.23
3,34.13
4,34.13
4,45.14
4,45.13
4,45.16
5,37.64
4,54.71
4,59.08
3,63.45
3,63.49
6,27.65
2,60.56
2,76.26
2,73.17
2,73.16
2,73.21
2,73.08
2,73.22
2,75.76
2,62.44
2,62.46
2,62.47
1,88.64
1,70.4
1,80.45
1,96.34
1,87.7
1,87.71
1,87.69
1,87.68
1,87.64
1,87.94
2,68.69
